GROUP_CODE_ID,SPECIES_CODE
1,10110
1,10111
1,10112
2,30050
2,30051
2,30052
3,30150
3,30151
3,30152
4,405
4,435
4,455
4,471
4,472
4,480
5,405
5,435
5,455
5,471
5,472
